TextBook ID,TextBook Name,Medium,Grade,Subject,Created On,Last Updated On,Total number of QR codes,Number of QR codes with atleast 1 linked content,Number of QR codes with no linked content,Term 1 QR Codes with no linked content,Term 2 QR Codes with no linked content
do_312981056161267712110,Psychology,English,Class 11,Psychology,2020-03-19,2020-03-19,9,9,0,0,0
do_312981226008166400111,Social Change and Development in India,English,Class 12,Sociology,2020-03-19,2020-03-20,8,8,0,0,0
do_31298104195012198411,SCIENCE TEXT BOOK FOR CLASS VI,English,Class 6,Science,2020-03-19,2020-03-21,16,16,0,0,0
do_312981330879193088117,Chemistry Part-1,English,Class 11,Chemistry,2020-03-19,2020-03-20,7,7,0,0,0
do_312981338824802304120,Math-Magic Book 5 Textbook in Mathematics for ClassV,English,Class 5,Mathematics,2020-03-19,2020-03-21,14,14,0,0,0
do_312981028358873088110,व्याकरणवीथि:,Sanskrit,"Class 9,Class 10",Sanskrit,2020-03-19,2020-03-19,6,6,0,0,0
do_312981327026429952112,Understanding Society,English,Class 11,Sociology,2020-03-19,2020-03-23,5,5,0,0,0
do_312981716322164736139,Introducing Sociology,English,Class 11,Sociology,2020-03-20,2020-03-20,5,5,0,0,0
do_312981800814886912134,मनोविज्ञान,Hindi,Class 11,Psychology,2020-03-20,2020-03-23,9,9,0,0,0
do_312981324130951168110,मनोविज्ञान,Hindi,Class 12,Psychology,2020-03-19,2020-03-20,9,9,0,0,0
do_312981804503900160133,Indian Society,English,Class 12,Sociology,2020-03-20,2020-03-23,7,6,1,1,0
do_312981809678204928132,लेखाशास्त्र -कंपनी खाते एवं वित्तीय विवरणों का विश्लेषण,Hindi,Class 12,Accountancy,2020-03-20,2020-03-21,6,6,0,0,0
do_312981806854995968150,Accountancy Part - II,English,Class 12,Accountancy,2020-03-20,2020-03-20,5,5,0,0,0
